State,;,",",=,(,),{,},if,else,for,while,return,==,!=,>,<,>=,<=,+,-,*,/,int,float,char,double,string,void,<id>,<num>,<str>,<flt>,$
0,,,,,,,,s12,,s13,s14,s15,,,,,,,,,,,s17,s18,s19,s20,s21,s22,s23,,,,r2
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,acc
2,,,,,,,r2,s12,,s13,s14,s15,,,,,,,,,,,s17,s18,s19,s20,s21,s22,s23,,,,r2
3,,,,,,,r3,r3,,r3,r3,r3,,,,,,,,,,,r3,r3,r3,r3,r3,r3,r3,,,,r3
4,,,,,,,r4,r4,,r4,r4,r4,,,,,,,,,,,r4,r4,r4,r4,r4,r4,r4,,,,r4
5,,,,,,,r5,r5,,r5,r5,r5,,,,,,,,,,,r5,r5,r5,r5,r5,r5,r5,,,,r5
6,,,,,,,r6,r6,,r6,r6,r6,,,,,,,,,,,r6,r6,r6,r6,r6,r6,r6,,,,r6
7,s25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,s26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,s27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,s28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s23,,,,
12,,,,s32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,,,s33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,,,s34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,,,s43,,,,,,,,,,,,,,,s41,s42,,,,,,,,,s23,s48,s49,s40,
16,,,s50,s51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r52,,,,
18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r53,,,,
19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r54,,,,
20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r55,,,,
21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r56,,,,
22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r57,,,,
